"gender","age","What language(s) do you usually speak at home?","Please specify which other languages you speak at home","Do you speak only a non-English language, more of a non-English language than English, both equally, more English than a non-English language, or only English?","Next I have some general questions about your health.  Would you say your health in general is...","Did you have a head cold or chest cold that started during those 30 days?","Now I'm going to ask a few questions about milk products. Do not include their use in cooking.  In the past 30 days, how often did you have milk to drink or on your cereal? Please include chocolate and other flavored milks as well as hot cocoa made with milk. Do not count small amounts of milk added to coffee or tea.  Would you say...","The next questions are about meals provided by community or government programs.  In the past 12 months, did you receive any meals delivered to your home from community programs, ""Meals on Wheels"", or any other programs?","In the past 12 months, did you buy food from fast food or pizza places?","If nutrition or health information were readily available in fast food or pizza places, would you use it often, sometimes, rarely, or never, in deciding what to order?","Do you have trouble concentrating on things, such as reading the newspaper or watching TV? Would you say...","Over the last 2 weeks, how often have you been bothered by the following problems: - little interest or pleasure in doing things?","Over the last 2 weeks, how often have you been bothered by the following problems: - feeling down, depressed, or hopeless?","Over the last 2 weeks, how often have you been bothered by the following problems: - trouble falling or staying asleep, or sleeping too much?","Over the last 2 weeks, how often have you been bothered by the following problems: - feeling tired or having little energy?","Over the last 2 weeks, how often have you been bothered by the following problems: - poor appetite or overeating?","Over the last 2 weeks, how often have you been bothered by the following problems: - feeling bad about yourself – or that you are a failure or have let yourself or your family down?","For these statements, please tell me whether the statement was often true, sometimes true, or never true for you in the last 12 months, that is since [OtherDate-PT--1%20year]. - I worried whether my food would run out before I got money to buy more","For these statements, please tell me whether the statement was often true, sometimes true, or never true for you in the last 12 months, that is since [OtherDate-PT--1%20year]. - The food that I bought just didn’t last, and I didn’t have enough money to get more food.","For these statements, please tell me whether the statement was often true, sometimes true, or never true for you in the last 12 months, that is since [OtherDate-PT--1%20year]. - I couldn’t afford to eat balanced meals.","In a typical week, on how many days {do you/does SP} do vigorous-intensity activities as part of {your/his/her} work?","Does your work involve moderate-intensity activity that causes small increases in breathing or heart rate such as brisk walking or carrying light loads for at least 10 minutes continuously?","The next questions exclude the physical activities at work that you have already mentioned. Now I would like to ask you about the usual way you to and from places. For example to school, for shopping, to work. In a typical week do you walk or use a bicycle for at least 10 minutes continuously to get to and from places?","In a typical week, on how many days do you walk or bicycle for at least 10 minutes continuously to get to and from places?","Over the past 30 days, on average how many hours per day did you sit and watch TV or videos?"
"Female",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often true","Sometimes true","Sometimes true",NA,NA,NA,NA,NA
"Male",45,"English",NA,NA,"good","No","sometimes",NA,"Yes","Often","Not at all","Not at all","Nearly every day","Not at all","Nearly every day","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"1 hour"
"Male",46,"English",NA,NA,NA,NA,"often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often true","Often true","Often true",NA,NA,NA,NA,"2 hour"
"Male",76,"English",NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"2 hour"
"Male",66,NA,NA,NA,NA,NA,"sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"2 hour"
"Female",51,"English",NA,NA,"very good","Yes","never","No","Yes","Often","Several days","Not at all","Not at all","Nearly every day","Several days","Not at all","Several days","Never true","Never true","Never true","2","Yes","No",NA,"4 hour"
"Female",35,"English",NA,NA,"very good","No","never","No","Yes","Rarely","Not at all","Not at all","Nearly every day","Not at all","Not at all","Not at all","Nearly every day","Never true","Never true","Never true",NA,"No","No",NA,"3 hour"
"Female",64,"English",NA,NA,"very good","No","often",NA,"No",NA,"Not at all","Not at all","Several days","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"2 hour"
"Female",78,"English",NA,NA,NA,NA,"sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"1 hour"
"Male",35,NA,NA,NA,"excellent","No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"Yes","No",NA,"2 hour"
"Male",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,NA
"Male",26,NA,NA,NA,"poor","No","never","No","No",NA,"Not at all","More than half the days","More than half the days","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","Yes","3","3 hour"
"Male",72,"English",NA,NA,"fair","No","sometimes",NA,"Yes","Often","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","Yes","2","2 hour"
"Female",40,"English",NA,NA,"good","No","rarely",NA,"Yes","Often","Not at all","Nearly every day","Nearly every day","Nearly every day","Not at all","Nearly every day","Nearly every day","Sometimes true","Sometimes true","Sometimes true",NA,"No","No",NA,"2 hour"
"Male",34,"English",NA,NA,NA,NA,"often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"less than 1 hour"
"Male",64,"English",NA,NA,"very good","No","sometimes",NA,"Yes","Often","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"less than 1 hour"
"Male",29,"English",NA,NA,"fair","No","often",NA,"Yes","Often","Not at all","Several days","More than half the days","Several days","Several days","Several days","Not at all","Often true","Often true","Never true",NA,"No","Yes","4","5 hour"
"Male",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,NA
"Male",76,NA,NA,"More English than non-English language","very good","No","often","No","Yes","Sometimes","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"Yes","No",NA,"2 hour"
"Female",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often true","Sometimes true","Often true",NA,NA,NA,NA,NA
"Female",52,"English",NA,NA,"good","No","rarely",NA,"Yes","Sometimes","Not at all","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Never true","Never true","Never true","3","Yes","No",NA,"3 hour"
"Male",39,NA,NA,NA,NA,"Yes","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"1 hour"
"Male",24,"English",NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often true","Often true","Sometimes true",NA,NA,NA,NA,"2 hour"
"Female",61,"English",NA,NA,NA,NA,"never",NA,"Yes","Rarely",NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true","2","Yes","No",NA,"5 hour"
"Male",74,"English",NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"4 hour"
"Female",53,"English,Other","French",NA,NA,NA,"often",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Sometimes true","Sometimes true",NA,"No","No",NA,"2 hour"
"Female",76,"English",NA,NA,NA,"Yes","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"3 hour"
"Female",53,"English",NA,NA,NA,NA,"often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often true","Sometimes true","Never true",NA,NA,NA,NA,"4 hour"
"Female",69,NA,NA,NA,"fair","No","never",NA,"Yes","Sometimes","Not at all","Several days","Not at all","Not at all","Not at all","Not at all","Not at all","Often true","Sometimes true","Sometimes true",NA,"No","Yes","5","3 hour"
"Female",32,"English",NA,NA,NA,"Yes","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"2 hour"
"Male",68,NA,NA,NA,"very good","No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Sometimes true","Sometimes true",NA,"No","No",NA,"2 hour"
"Female",35,"English",NA,NA,"very good","No","sometimes",NA,"Yes","Sometimes","Several days","Several days","Several days","Nearly every day","Not at all","Several days","Several days","Never true","Never true","Never true",NA,"Yes","Yes","5","4 hour"
"Male",60,"English",NA,NA,"good","Yes","never",NA,"Yes","Rarely","Not at all","Not at all","Several days","Not at all","Several days","Not at all","Not at all","Never true","Never true","Never true",NA,"Yes","Yes","5","5 hour"
"Female",74,NA,NA,NA,NA,NA,"often",NA,"Yes","Often",NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Sometimes true","Never true",NA,"Yes","No",NA,"1 hour"
"Female",48,"English",NA,NA,"very good","No","rarely","No","Yes","Never","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"4 hour"
"Male",61,"English,Other","Swiss",NA,"good","No","rarely",NA,"Yes","Often","Not at all","Not at all","Several days","Several days","Not at all","Not at all","Not at all","Sometimes true","Never true","Never true",NA,"Yes","No",NA,"2 hour"
"Female",59,NA,NA,NA,NA,"No","sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Sometimes true","Sometimes true",NA,NA,NA,NA,"less than 1 hour"
"Female",57,"English",NA,NA,"very good","No","often",NA,"Yes","Rarely","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","Yes","5","5 hour"
"Female",78,"English",NA,NA,"very good","No","sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Sometimes true","Sometimes true",NA,"No","Yes","3","2 hour"
"Female",77,NA,NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Sometimes true",NA,NA,NA,NA,"1 hour"
"Male",52,"English",NA,NA,NA,NA,"sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Sometimes true","Sometimes true",NA,NA,NA,NA,"less than 1 hour"
"Female",71,NA,NA,NA,"good","No","rarely","No","Yes","Never","Not at all","Nearly every day","Not at all","Nearly every day","More than half the days","Nearly every day","Not at all","Never true","Never true","Never true",NA,"Yes","Yes","5","2 hour"
"Male",37,NA,NA,NA,"fair","No","never","No","No",NA,"Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"less than 1 hour"
"Female",51,"English",NA,NA,"very good","No","sometimes","No","Yes","Often","Not at all","Several days","Not at all","Several days","Several days","Not at all","Not at all","Never true","Never true","Never true","5","Yes","No",NA,"less than 1 hour"
"Female",37,NA,NA,NA,"fair","No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"No","No",NA,"less than 1 hour"
"Female",34,NA,NA,NA,NA,NA,"sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,NA
"Male",56,"English",NA,NA,"very good","No","never",NA,"Yes","Often","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"2 hour"
"Female",72,"English",NA,NA,"very good","No","often","No","Yes","Sometimes","Several days","Several days","Several days","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"2 hour"
"Male",60,"English",NA,NA,NA,NA,"often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"2 hour"
"Male",80,"English",NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Sometimes true","Never true",NA,NA,NA,NA,"2 hour"
"Female",73,"English",NA,NA,"good","No","often","No","Yes","Never","Not at all","Not at all","Nearly every day","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"4 hour"
"Female",28,"English",NA,NA,NA,"Yes","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"less than 1 hour"
"Female",54,"English",NA,NA,"good","No","never",NA,"Yes","Never","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true","2","No","No",NA,"2 hour"
"Female",67,"English",NA,NA,"very good","No","never","No","No",NA,"Several days","Not at all","Several days","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"3 hour"
"Male",33,NA,NA,NA,"good","No","often",NA,"Yes","Never","Not at all","Not at all","Not at all","Not at all","Several days","Several days","Not at all","Sometimes true","Sometimes true","Sometimes true",NA,"No","No",NA,"2 hour"
"Male",59,"English",NA,NA,NA,NA,"often",NA,"Yes","Often",NA,NA,NA,NA,NA,NA,NA,"Often true","Sometimes true","Often true","5","No","Yes","5","I don't watch TV or videos"
"Male",18,"English",NA,NA,"very good","No","sometimes",NA,"Yes","Never","More than half the days","Several days","Several days","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"Yes","Yes","4","2 hour"
"Female",65,NA,NA,NA,NA,NA,"often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"2 hour"
"Male",33,"English",NA,NA,"very good","No","often",NA,"Yes","Never","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Sometimes true","Sometimes true","Sometimes true","5","No","No",NA,"2 hour"
"Female",39,"English",NA,NA,"very good","No","sometimes","No","Yes","Sometimes","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"Yes","No",NA,"3 hour"
"Male",36,NA,NA,NA,"good","No","never",NA,"Yes","Never","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true","5","Yes","No",NA,"1 hour"
"Female",76,NA,NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Never true","Never true",NA,NA,NA,NA,"2 hour"
"Female",22,"English",NA,NA,"good","No","sometimes","Yes","Yes","Sometimes",NA,NA,NA,NA,NA,NA,NA,"Never true","Often true","Often true",NA,"No","No",NA,"I don't watch TV or videos"
"Female",25,"English",NA,NA,"very good","No","often","No","Yes","Often","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"4 hour"
"Female",38,"English",NA,NA,"good","No","never",NA,"Yes","Sometimes","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"Yes","No",NA,"less than 1 hour"
"Female",78,"English",NA,NA,"good","No","often",NA,"Yes","Sometimes","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"3 hour"
"Female",65,"English",NA,NA,"good","No","never",NA,"No",NA,"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"2 hour"
"Female",46,"English",NA,NA,"fair","No","sometimes","No","Yes","Never","Nearly every day","Several days","Nearly every day","Nearly every day","Not at all","Several days","More than half the days","Often true","Sometimes true","Never true",NA,"Yes","No",NA,"5 hour"
"Female",73,"English",NA,NA,"poor","Yes","often","No","Yes","Often","Several days","Several days","Several days","More than half the days","Several days","Not at all","Not at all","Never true","Never true","Never true",NA,"No","Yes","7","5 hour"
"Female",27,"English",NA,NA,NA,"Yes","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"1 hour"
"Female",28,"English",NA,NA,"fair","Yes","rarely",NA,"Yes","Never","Several days","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"5 hour"
"Female",77,NA,NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"2 hour"
"Female",44,NA,NA,NA,NA,NA,"often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Often true","Often true",NA,NA,NA,NA,"3 hour"
"Male",49,"English",NA,NA,"very good","No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"No","No",NA,"2 hour"
"Male",63,"English",NA,NA,"fair","No","never",NA,"Yes","Often","Nearly every day","Nearly every day","Nearly every day","Nearly every day","Nearly every day","Nearly every day","Nearly every day","Often true","Often true","Often true",NA,"No","Yes","7","4 hour"
"Female",30,"English",NA,NA,"good","No","never",NA,"No",NA,"Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Several days","Never true","Never true","Never true",NA,"No","No",NA,"5 hour"
"Male",17,"English",NA,NA,"excellent","No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"No","Yes","7","2 hour"
"Female",18,NA,NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,NA
"Female",35,"English",NA,NA,"good","No","never",NA,"Yes","Often","Not at all","Not at all","Several days","Not at all","Several days","Not at all","Not at all","Never true","Never true","Never true",NA,"No","Yes","7","2 hour"
"Male",17,NA,NA,NA,"very good","No","sometimes",NA,"Yes","Sometimes",NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"No","No",NA,"4 hour"
"Female",55,"English",NA,NA,"excellent","No","never",NA,"Yes","Never","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true","5","Yes","Yes","7","2 hour"
"Male",50,"English",NA,NA,"excellent","No","often",NA,"Yes","Often",NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"No","Yes","3","3 hour"
"Female",35,NA,NA,NA,"excellent","No","never",NA,"Yes","Sometimes","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","Yes","2","2 hour"
"Female",28,"English",NA,NA,"good","No","often","No","Yes","Never","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Never true","Never true","Sometimes true",NA,"No","No",NA,"5 hour"
"Male",39,NA,NA,"Both equally","very good","No","often","No","Yes","Sometimes","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"1 hour"
"Female",34,"English",NA,NA,NA,NA,"often","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"No","No",NA,"5 hour"
"Female",65,NA,NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"4 hour"
"Male",79,NA,NA,"Only English","excellent","No","never",NA,"Yes","Often","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"less than 1 hour"
"Female",19,"English",NA,NA,"very good","No","rarely",NA,"Yes","Rarely","Several days","Nearly every day","Not at all","Several days","Not at all","Several days","Not at all","Often true","Often true","Sometimes true","2","No","No",NA,"3 hour"
"Female",32,"English",NA,NA,"excellent","No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"Yes","Yes","5","3 hour"
"Female",23,NA,NA,NA,NA,NA,"often",NA,"Yes","Sometimes",NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true","4","Yes","No",NA,"4 hour"
"Male",46,"English",NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"1 hour"
"Female",76,NA,NA,NA,"good","No","sometimes",NA,"Yes","Never","Several days","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"3 hour"
"Female",80,"English",NA,NA,"good","No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Sometimes true","Never true",NA,"No","No",NA,"2 hour"
"Female",42,"English",NA,NA,"fair","No","never","No","Yes","Often","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Sometimes true","Sometimes true","Sometimes true",NA,"Yes","No",NA,"5 hour"
"Male",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Sometimes true","Never true",NA,NA,NA,NA,NA
"Female",60,NA,NA,NA,"very good","No","often",NA,"Yes","Often","Not at all","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"2 hour"
"Male",46,"English",NA,NA,"very good","No","never",NA,"Yes","Sometimes",NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"No","No",NA,"1 hour"
"Male",55,"English",NA,NA,NA,NA,"sometimes",NA,"Yes","Often",NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Sometimes true","Sometimes true",NA,"No","No",NA,"4 hour"
"Female",61,NA,NA,"Only English",NA,NA,"sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"1 hour"
"Male",35,"English",NA,NA,NA,NA,"often",NA,"Yes","Rarely",NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Never true","Never true","2","Yes","Yes","4","5 hour"
"Female",18,"English",NA,NA,"very good","No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"No","Yes","7","less than 1 hour"
"Female",69,NA,NA,"Only Non-English language",NA,NA,"never","No","Yes","Never",NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"No","Yes","7","3 hour"
"Female",28,"English",NA,NA,"excellent","No","often",NA,"Yes","Often","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"1 hour"
"Male",53,NA,NA,NA,"very good","No","often",NA,"Yes","Never","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Sometimes true","Sometimes true","Sometimes true",NA,"No","No",NA,"2 hour"
"Female",26,NA,NA,NA,"fair","No","never","No","Yes","Sometimes",NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"No","No",NA,"5 hour"
"Female",37,"English",NA,NA,"very good","No","never",NA,"Yes","Rarely","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Several days","Never true","Never true","Never true",NA,"Yes","No",NA,"2 hour"
"Female",16,"English",NA,NA,"fair","Yes","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"Yes","No",NA,"2 hour"
"Male",56,"English",NA,NA,NA,NA,"often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Sometimes true","Never true",NA,NA,NA,NA,"less than 1 hour"
"Female",30,"English",NA,NA,"fair","No","rarely","No","No",NA,"Several days","Several days","Several days","Several days","Several days","Several days","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"5 hour"
"Male",44,"English,Other","Afrikans",NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"3 hour"
"Male",18,NA,NA,NA,"fair","No","sometimes",NA,"Yes","Never","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Often true","6","Yes","No",NA,"2 hour"
"Male",57,NA,NA,"Only Non-English language","fair","No","sometimes","No","Yes","Never","Not at all","Not at all","Not at all","Several days","Several days","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"5 hour"
"Male",53,"English",NA,NA,NA,"Yes","sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"less than 1 hour"
"Female",43,NA,NA,NA,"fair","No","rarely",NA,"No",NA,"Not at all","Not at all","Several days","Not at all","Several days","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"3 hour"
"Male",72,"English",NA,NA,"very good","No","never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"Yes","Yes","5","3 hour"
"Male",50,NA,NA,NA,NA,"No","sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"less than 1 hour"
"Male",51,NA,NA,NA,NA,"Yes","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often true","Sometimes true","Sometimes true",NA,NA,NA,NA,"2 hour"
"Male",80,NA,NA,NA,"fair","No","often",NA,"Yes","Sometimes","Not at all","Not at all","Several days","Several days","Several days","Not at all","Several days","Never true","Never true","Never true",NA,"No","No",NA,"3 hour"
"Male",30,"English",NA,NA,"very good","Yes","rarely",NA,"No",NA,"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Often true","Often true","Often true","7","Yes","Yes","7","less than 1 hour"
"Male",74,"English",NA,NA,"good","No","sometimes",NA,"Yes","Often","Not at all","Not at all","Not at all","More than half the days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"Yes","No",NA,"2 hour"
"Female",40,"English",NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Sometimes true","Often true",NA,NA,NA,NA,"less than 1 hour"
"Male",59,"English",NA,NA,"very good","No","often",NA,"Yes","Sometimes",NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Sometimes true","Sometimes true",NA,"No","Yes","7","2 hour"
"Female",58,"English",NA,NA,"very good","No","sometimes",NA,"Yes","Often","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Sometimes true","Sometimes true","Sometimes true",NA,"No","No",NA,"2 hour"
"Male",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,NA
"Male",34,"English",NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often true","Often true","Often true",NA,NA,NA,NA,"2 hour"
"Female",48,"English",NA,NA,NA,NA,"often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"2 hour"
"Male",32,NA,NA,NA,NA,NA,"never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often true","Often true","Never true",NA,NA,NA,NA,"1 hour"
"Female",45,"English",NA,NA,NA,NA,"often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Sometimes true","Never true",NA,NA,NA,NA,"1 hour"
"Female",74,"English",NA,NA,"good","No","often","Yes","Yes","Never","Not at all","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Sometimes true","Sometimes true","Never true",NA,"No","No",NA,"5 hour"
"Male",55,NA,NA,NA,"good","No","rarely",NA,"No",NA,"Not at all","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Never true","Never true","Never true",NA,"No","Yes","6","less than 1 hour"
"Female",46,"English",NA,NA,NA,"Yes","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often true","Sometimes true","Sometimes true",NA,NA,NA,NA,"4 hour"
"Female",63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Sometimes true","Sometimes true",NA,NA,NA,NA,NA
"Male",57,NA,NA,NA,NA,"No","sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"2 hour"
"Male",43,NA,NA,"Only English","good","No","sometimes",NA,"Yes","Sometimes","Several days","Several days","Several days","Several days","Several days","Several days","Several days","Never true","Never true","Never true",NA,"No","Yes","7","1 hour"
